No Broke Boys Disco Lines;Tinashe
Azizam Ed Sheeran
Just Keep Watching (From F1® The Movie) Tate McRae;F1 The Album
Opalite Taylor Swift
Lush Life Zara Larsson
Mystical Magical Benson Boone
EYES CLOSED (with ZAYN) JISOO;ZAYN
Bad Dreams Teddy Swims
12 to 12 sombr
Sapphire Ed Sheeran
DAISIES Justin Bieber
Sorry I'm Here For Someone Else Benson Boone
Ordinary Alex Warren
Beautiful People David Guetta;Sia
greedy Tate McRae
The Door Teddy Swims
Illusion Dua Lipa
NIGHTS LIKE THESE Benson Boone
The Feeling Lost Frequencies;Bonn
I Don't Wanna Wait David Guetta;OneRepublic
In The Dark Purple Disco Machine;Sophie and the Giants
A Little More Ed Sheeran
Training Season Dua Lipa
undressed sombr
Reality Lost Frequencies;Janieck
Gone Gone Gone David Guetta;Teddy Swims;Tones And I
Substitution (feat. Julian Perretta) Purple Disco Machine;Kungs;Julian Perretta
Old Phone Ed Sheeran
Houdini Dua Lipa
Sunshine OneRepublic
Are You With Me Lost Frequencies
Let You Love Me Rita Ora
Hypnotized Purple Disco Machine;Sophie and the Giants
Camera Ed Sheeran
Addicted Zerb;The Chainsmokers;Ink
Run OneRepublic
Feel It Still Portugal. The Man
Baby Don't Hurt Me David Guetta;Anne-Marie;Coi Leray
Bad Habits Ed Sheeran
Sports car Tate McRae
back to friends sombr
Adore You Harry Styles
Carry You Home Alex Warren
Symmetry Ed Sheeran
Forever Young David Guetta;Alphaville;Ava Max
Messy Lola Young
Man I Need Olivia Dean
I Had Some Help (Feat. Morgan Wallen) Post Malone;Morgan Wallen
Galway Girl Ed Sheeran
Lonely Together (feat. Rita Ora) Avicii;Rita Ora
